sample_id,timestamp,amplitude_mean,amplitude_std,phase_mean,phase_std,label
walking_0,0,0.381,0.318,0.252,0.195,walking
walking_0,1,0.485,0.254,0.325,0.21,walking
walking_0,2,0.436,0.337,0.232,0.213,walking
walking_0,3,0.426,0.295,0.338,0.177,walking
walking_0,4,0.446,0.242,0.346,0.197,walking
walking_0,5,0.467,0.301,0.334,0.194,walking
walking_0,6,0.391,0.265,0.375,0.22,walking
walking_0,7,0.423,0.28,0.27,0.215,walking
walking_0,8,0.468,0.318,0.272,0.184,walking
walking_0,9,0.447,0.292,0.305,0.174,walking
walking_0,10,0.479,0.294,0.27,0.219,walking
walking_0,11,0.493,0.282,0.32,0.203,walking
walking_0,12,0.392,0.28,0.208,0.209,walking
walking_0,13,0.357,0.309,0.299,0.187,walking
walking_0,14,0.404,0.274,0.387,0.142,walking
walking_0,15,0.499,0.286,0.255,0.17,walking
walking_0,16,0.519,0.26,0.258,0.214,walking
walking_0,17,0.452,0.261,0.326,0.171,walking
walking_0,18,0.49,0.301,0.342,0.199,walking
walking_0,19,0.523,0.279,0.256,0.2,walking
walking_1,0,0.1,0.101,0.402,0.231,walking
walking_1,1,0.174,0.139,0.414,0.233,walking
walking_1,2,0.041,0.098,0.46,0.26,walking
walking_1,3,0.118,0.081,0.35,0.267,walking
walking_1,4,0.164,0.062,0.484,0.262,walking
walking_1,5,0.188,0.066,0.336,0.248,walking
walking_1,6,0.143,0.128,0.44,0.246,walking
walking_1,7,0.067,0.117,0.356,0.283,walking
walking_1,8,0.104,0.124,0.438,0.248,walking
walking_1,9,0.092,0.086,0.426,0.252,walking
walking_1,10,0.088,0.089,0.408,0.208,walking
walking_1,11,0.141,0.073,0.347,0.217,walking
walking_1,12,0.028,0.065,0.369,0.29,walking
walking_1,13,0.092,0.096,0.424,0.253,walking
walking_1,14,0.114,0.069,0.477,0.287,walking
walking_1,15,0.034,0.072,0.39,0.231,walking
walking_1,16,0.143,0.078,0.513,0.274,walking
walking_1,17,0.129,0.113,0.46,0.239,walking
walking_1,18,0.077,0.094,0.448,0.253,walking
walking_1,19,0.039,0.076,0.401,0.249,walking
walking_2,0,0.428,0.213,0.228,0.368,walking
walking_2,1,0.428,0.194,0.124,0.374,walking
walking_2,2,0.425,0.132,0.149,0.379,walking
walking_2,3,0.392,0.224,0.081,0.368,walking
walking_2,4,0.503,0.166,0.087,0.373,walking
walking_2,5,0.445,0.187,0.05,0.366,walking
walking_2,6,0.373,0.181,0.136,0.385,walking
walking_2,7,0.314,0.204,0.127,0.404,walking
walking_2,8,0.425,0.205,0.138,0.403,walking
walking_2,9,0.429,0.181,0.228,0.394,walking
walking_2,10,0.432,0.157,0.05,0.382,walking
walking_2,11,0.41,0.17,0.122,0.408,walking
walking_2,12,0.438,0.16,0.109,0.36,walking
walking_2,13,0.384,0.174,0.091,0.351,walking
walking_2,14,0.397,0.172,0.0,0.417,walking
walking_2,15,0.457,0.175,0.115,0.353,walking
walking_2,16,0.488,0.221,0.122,0.397,walking
walking_2,17,0.412,0.156,0.094,0.379,walking
walking_2,18,0.38,0.178,0.11,0.375,walking
walking_2,19,0.406,0.162,0.079,0.351,walking
walking_3,0,0.842,0.166,0.867,0.093,walking
walking_3,1,0.778,0.156,0.791,0.064,walking
walking_3,2,0.742,0.198,0.886,0.079,walking
walking_3,3,0.746,0.176,0.793,0.061,walking
walking_3,4,0.817,0.198,0.835,0.104,walking
walking_3,5,0.833,0.207,0.8,0.058,walking
walking_3,6,0.852,0.196,0.811,0.067,walking
walking_3,7,0.768,0.181,0.825,0.064,walking
walking_3,8,0.818,0.198,0.87,0.048,walking
walking_3,9,0.878,0.173,0.831,0.075,walking
walking_3,10,0.753,0.217,0.873,0.021,walking
walking_3,11,0.818,0.159,0.761,0.098,walking
walking_3,12,0.764,0.185,0.799,0.107,walking
walking_3,13,0.701,0.187,0.884,0.103,walking
walking_3,14,0.787,0.184,0.914,0.097,walking
walking_3,15,0.827,0.192,0.807,0.062,walking
walking_3,16,0.809,0.237,0.853,0.044,walking
walking_3,17,0.861,0.215,0.844,0.095,walking
walking_3,18,0.737,0.208,0.783,0.034,walking
walking_3,19,0.81,0.259,0.717,0.065,walking
walking_4,0,0.609,0.009,0.53,0.362,walking
walking_4,1,0.505,0.041,0.566,0.378,walking
walking_4,2,0.626,0.038,0.529,0.395,walking
walking_4,3,0.599,0.043,0.534,0.381,walking
walking_4,4,0.551,0.023,0.476,0.364,walking
walking_4,5,0.573,0.004,0.624,0.404,walking
walking_4,6,0.71,0.008,0.521,0.351,walking
walking_4,7,0.579,0.001,0.58,0.369,walking
walking_4,8,0.668,0.029,0.633,0.348,walking
walking_4,9,0.677,0.04,0.469,0.397,walking
walking_4,10,0.631,0.012,0.477,0.363,walking
walking_4,11,0.717,0.017,0.557,0.361,walking
walking_4,12,0.575,0.039,0.45,0.369,walking
walking_4,13,0.616,0.019,0.509,0.385,walking
walking_4,14,0.649,0.032,0.469,0.371,walking
walking_4,15,0.674,0.035,0.449,0.384,walking
walking_4,16,0.515,0.018,0.613,0.358,walking
walking_4,17,0.573,0.032,0.441,0.365,walking
walking_4,18,0.644,0.004,0.506,0.392,walking
walking_4,19,0.635,0.022,0.501,0.385,walking
walking_5,0,0.72,0.119,0.281,0.012,walking
walking_5,1,0.782,0.123,0.361,0.026,walking
walking_5,2,0.79,0.13,0.344,0.018,walking
walking_5,3,0.777,0.127,0.322,0.007,walking
walking_5,4,0.777,0.163,0.303,0.02,walking
walking_5,5,0.788,0.125,0.381,0.009,walking
walking_5,6,0.806,0.131,0.314,0.041,walking
walking_5,7,0.821,0.137,0.264,0.051,walking
walking_5,8,0.766,0.121,0.325,0.031,walking
walking_5,9,0.829,0.118,0.265,0.026,walking
walking_5,10,0.778,0.144,0.352,0.017,walking
walking_5,11,0.894,0.125,0.385,0.031,walking
walking_5,12,0.796,0.136,0.382,0.055,walking
walking_5,13,0.813,0.113,0.293,0.041,walking
walking_5,14,0.816,0.115,0.375,0.063,walking
walking_5,15,0.724,0.102,0.314,0.041,walking
walking_5,16,0.743,0.146,0.343,0.035,walking
walking_5,17,0.698,0.093,0.335,0.008,walking
walking_5,18,0.82,0.116,0.484,0.081,walking
walking_5,19,0.76,0.117,0.371,0.068,walking
walking_6,0,0.415,0.154,0.618,0.04,walking
walking_6,1,0.434,0.116,0.577,0.089,walking
walking_6,2,0.43,0.13,0.655,0.083,walking
walking_6,3,0.372,0.105,0.642,0.097,walking
walking_6,4,0.407,0.136,0.628,0.083,walking
walking_6,5,0.282,0.136,0.749,0.057,walking
walking_6,6,0.361,0.139,0.741,0.077,walking
walking_6,7,0.356,0.093,0.683,0.127,walking
walking_6,8,0.404,0.132,0.694,0.086,walking
walking_6,9,0.35,0.149,0.689,0.087,walking
walking_6,10,0.342,0.159,0.711,0.075,walking
walking_6,11,0.441,0.122,0.639,0.071,walking
walking_6,12,0.302,0.142,0.586,0.062,walking
walking_6,13,0.287,0.131,0.671,0.08,walking
walking_6,14,0.338,0.109,0.701,0.075,walking
walking_6,15,0.406,0.115,0.687,0.112,walking
walking_6,16,0.42,0.124,0.691,0.082,walking
walking_6,17,0.391,0.126,0.67,0.091,walking
walking_6,18,0.341,0.112,0.609,0.054,walking
walking_6,19,0.33,0.136,0.633,0.097,walking
walking_7,0,0.268,0.164,0.644,0.3,walking
walking_7,1,0.254,0.12,0.668,0.296,walking
walking_7,2,0.297,0.132,0.667,0.304,walking
walking_7,3,0.315,0.16,0.654,0.322,walking
walking_7,4,0.258,0.166,0.746,0.308,walking
walking_7,5,0.307,0.145,0.739,0.27,walking
walking_7,6,0.269,0.148,0.749,0.306,walking
walking_7,7,0.269,0.15,0.656,0.284,walking
walking_7,8,0.366,0.129,0.768,0.315,walking
walking_7,9,0.372,0.147,0.68,0.27,walking
walking_7,10,0.291,0.166,0.752,0.276,walking
walking_7,11,0.299,0.153,0.617,0.31,walking
walking_7,12,0.281,0.152,0.665,0.283,walking
walking_7,13,0.317,0.152,0.669,0.284,walking
walking_7,14,0.333,0.189,0.694,0.318,walking
walking_7,15,0.248,0.159,0.632,0.269,walking
walking_7,16,0.28,0.18,0.735,0.303,walking
walking_7,17,0.241,0.152,0.702,0.302,walking
walking_7,18,0.225,0.138,0.684,0.309,walking
walking_7,19,0.207,0.153,0.694,0.315,walking
walking_8,0,0.614,0.265,0.393,0.193,walking
walking_8,1,0.655,0.253,0.296,0.177,walking
walking_8,2,0.717,0.227,0.404,0.173,walking
walking_8,3,0.7,0.217,0.353,0.164,walking
walking_8,4,0.563,0.25,0.374,0.162,walking
walking_8,5,0.559,0.244,0.319,0.19,walking
walking_8,6,0.681,0.244,0.416,0.184,walking
walking_8,7,0.616,0.213,0.31,0.172,walking
walking_8,8,0.682,0.255,0.265,0.183,walking
walking_8,9,0.667,0.276,0.368,0.194,walking
walking_8,10,0.637,0.253,0.386,0.152,walking
walking_8,11,0.616,0.23,0.342,0.204,walking
